date,timestamp_ms,score,rating
2025-06-09,1749520239749,62.2,greed
2024-06-09,1717977600000,44.74285714285715,fear
2024-06-10,1718064000000,44.4,fear
2024-06-11,1718150400000,46.57142857142857,neutral
2024-06-12,1718236800000,44.57142857142858,fear
2024-06-13,1718323200000,41.11428571428572,fear
2024-06-16,1718582400000,43.285714285714285,fear
2024-06-17,1718668800000,41.28571428571429,fear
2024-06-19,1718841600000,38.714285714285715,fear
2024-06-20,1718928000000,39.05714285714286,fear
2024-06-23,1719187200000,37.77142857142858,fear
2024-06-24,1719273600000,37.285714285714285,fear
2024-06-25,1719360000000,40.88571428571429,fear
2024-06-26,1719446400000,45.51428571428571,neutral
2024-06-27,1719532800000,44.31428571428571,fear
2024-06-30,1719792000000,47.94285714285714,neutral
2024-07-01,1719878400000,49.74285714285714,neutral
2024-07-02,1719964800000,48.371428571428574,neutral
2024-07-04,1720137600000,49.714285714285715,neutral
2024-07-07,1720396800000,51.057142857142864,neutral
2024-07-08,1720483200000,50.57142857142856,neutral
2024-07-09,1720569600000,54.60000000000001,neutral
2024-07-10,1720656000000,49.4,neutral
2024-07-11,1720742400000,54.371428571428574,neutral
2024-07-14,1721001600000,57.74285714285715,greed
2024-07-15,1721088000000,57.02857142857143,greed
2024-07-16,1721174400000,46.114285714285714,neutral
2024-07-17,1721260800000,45.94285714285714,neutral
2024-07-18,1721347200000,43,fear
2024-07-21,1721606400000,48.42857142857144,neutral
2024-07-22,1721692800000,46.857142857142854,neutral
2024-07-23,1721779200000,38.614285714285714,fear
2024-07-24,1721865600000,39.07142857142857,fear
2024-07-25,1721952000000,42.542857142857144,fear
2024-07-28,1722211200000,42.07142857142857,fear
2024-07-29,1722297600000,40.800000000000004,fear
2024-07-30,1722384000000,46.885714285714286,neutral
2024-07-31,1722470400000,42.68571428571429,fear
2024-08-01,1722556800000,41.385714285714286,fear
2024-08-04,1722816000000,33.05714285714286,fear
2024-08-05,1722902400000,19.014285714285712,extreme fear
2024-08-06,1722988800000,16.557142857142857,extreme fear
2024-08-07,1723075200000,17.65714285714286,extreme fear
2024-08-08,1723161600000,24.085714285714285,extreme fear
2024-08-11,1723420800000,23.8,extreme fear
2024-08-12,1723507200000,25.514285714285712,fear
2024-08-13,1723593600000,26.428571428571434,fear
2024-08-14,1723680000000,32.37142857142857,fear
2024-08-15,1723766400000,33.74285714285715,fear
2024-08-18,1724025600000,39.88571428571429,fear
2024-08-19,1724112000000,44.68571428571429,fear
2024-08-20,1724198400000,50.228571428571435,neutral
2024-08-21,1724284800000,46.77142857142858,neutral
2024-08-22,1724371200000,51.57142857142857,neutral
2024-08-25,1724630400000,52.94285714285714,neutral
2024-08-26,1724716800000,52.28571428571429,neutral
2024-08-27,1724803200000,51.08571428571429,neutral
2024-08-28,1724889600000,56.057142857142864,greed
2024-08-29,1724976000000,60.314285714285724,greed
2024-09-02,1725321600000,56.34285714285714,greed
2024-09-03,1725408000000,56.62857142857143,greed
2024-09-04,1725494400000,50.62857142857143,neutral
2024-09-05,1725580800000,39.34285714285715,fear
2024-09-08,1725840000000,41.971428571428575,fear
2024-09-09,1725926400000,39.6857142857143,fear
2024-09-10,1726012800000,43.08571428571429,fear
2024-09-11,1726099200000,42.97142857142857,fear
2024-09-12,1726185600000,48.62857142857143,neutral
2024-09-15,1726444800000,50.31428571428571,neutral
2024-09-16,1726531200000,54.62857142857143,neutral
2024-09-17,1726617600000,55.17142857142858,greed
2024-09-18,1726704000000,63.80000000000001,greed
2024-09-19,1726790400000,61.2,greed
2024-09-22,1727049600000,63.85714285714287,greed
2024-09-23,1727136000000,66.42857142857143,greed
2024-09-24,1727222400000,65.74285714285715,greed
2024-09-25,1727308800000,70.74285714285713,greed
2024-09-26,1727395200000,67.31428571428572,greed
2024-09-29,1727654400000,73.6857142857143,greed
2024-09-30,1727740800000,70.31428571428572,greed
2024-10-01,1727827200000,70.57142857142857,greed
2024-10-02,1727913600000,69.42857142857143,greed
2024-10-03,1728000000000,71.4,greed
2024-10-06,1728259200000,70.82857142857144,greed
2024-10-07,1728345600000,71.17142857142856,greed
2024-10-08,1728432000000,71.14285714285715,greed
2024-10-09,1728518400000,70.28571428571429,greed
2024-10-10,1728604800000,71.65714285714286,greed
2024-10-13,1728864000000,74.22857142857143,greed
2024-10-14,1728950400000,71.14285714285715,greed
2024-10-15,1729036800000,69.02857142857142,greed
2024-10-16,1729123200000,68.57142857142857,greed
2024-10-17,1729209600000,72.42857142857143,greed
2024-10-20,1729468800000,69.8,greed
2024-10-21,1729555200000,70.37142857142858,greed
2024-10-22,1729641600000,63.199999999999996,greed
2024-10-23,1729728000000,62.94285714285714,greed
2024-10-24,1729814400000,58.74285714285715,greed
2024-10-27,1730073600000,60.85714285714287,greed
2024-10-28,1730160000000,60.057142857142864,greed
2024-10-29,1730246400000,57.2,greed
2024-10-30,1730332800000,40.45714285714286,fear
2024-10-31,1730419200000,50.48571428571429,neutral
2024-11-03,1730678400000,42.42857142857143,fear
2024-11-04,1730764800000,43.54285714285715,fear
2024-11-05,1730851200000,44,fear
2024-11-06,1730937600000,59.05714285714286,greed
2024-11-07,1731024000000,59.42857142857144,greed
2024-11-10,1731283200000,66.6,greed
2024-11-11,1731369600000,66.71428571428571,greed
2024-11-12,1731456000000,66.31428571428572,greed
2024-11-13,1731542400000,60.314285714285724,greed
2024-11-14,1731628800000,51.199999999999996,neutral
2024-11-17,1731888000000,50.285714285714285,neutral
2024-11-18,1731974400000,49.51428571428572,neutral
2024-11-19,1732060800000,49.51428571428572,neutral
2024-11-20,1732147200000,56.60000000000001,greed
2024-11-21,1732233600000,60.71428571428572,greed
2024-11-24,1732492800000,62.88571428571429,greed
2024-11-25,1732579200000,65.91428571428573,greed
2024-11-26,1732665600000,64.4,greed
2024-11-28,1732838400000,65,greed
2024-12-01,1733097600000,65.31428571428572,greed
2024-12-02,1733184000000,59.57142857142858,greed
2024-12-03,1733270400000,57.48571428571429,greed
2024-12-04,1733356800000,54.91428571428572,neutral
2024-12-05,1733443200000,52.142857142857146,neutral
2024-12-08,1733702400000,49.25714285714287,neutral
2024-12-09,1733788800000,46.971428571428575,neutral
2024-12-10,1733875200000,49.2,neutral
2024-12-11,1733961600000,47.114285714285714,neutral
2024-12-12,1734048000000,49.114285714285714,neutral
2024-12-15,1734307200000,56.057142857142864,greed
2024-12-16,1734393600000,51.4,neutral
2024-12-17,1734480000000,33.12857142857143,fear
2024-12-18,1734566400000,19.514285714285716,extreme fear
2024-12-19,1734652800000,27.600000000000005,fear
2024-12-22,1734912000000,30.142857142857146,fear
2024-12-23,1734998400000,34.51428571428571,fear
2024-12-25,1735171200000,34.17142857142857,fear
2024-12-26,1735257600000,33.82857142857143,fear
2024-12-29,1735516800000,28.6,fear
2024-12-30,1735603200000,26.314285714285713,fear
2025-01-01,1735776000000,24.314285714285717,extreme fear
2025-01-02,1735862400000,28.885714285714283,fear
2025-01-05,1736121600000,33.77142857142857,fear
2025-01-06,1736208000000,34.31428571428572,fear
2025-01-07,1736294400000,31.914285714285718,fear
2025-01-09,1736467200000,25.62857142857143,fear
2025-01-12,1736726400000,25.34285714285715,fear
2025-01-13,1736812800000,25.142857142857142,fear
2025-01-14,1736899200000,27.428571428571427,fear
2025-01-15,1736985600000,27.342857142857145,fear
2025-01-16,1737072000000,36.02857142857143,fear
2025-01-20,1737417600000,39.91428571428572,fear
2025-01-21,1737504000000,41.62857142857143,fear
2025-01-22,1737590400000,43.68571428571429,fear
2025-01-23,1737676800000,45.800000000000004,neutral
2025-01-26,1737936000000,37.971428571428575,fear
2025-01-27,1738022400000,40.62857142857143,fear
2025-01-28,1738108800000,42.4,fear
2025-01-29,1738195200000,45.91428571428571,neutral
2025-01-30,1738281600000,43.771428571428565,fear
2025-02-02,1738540800000,37.4,fear
2025-02-03,1738627200000,37.142857142857146,fear
2025-02-04,1738713600000,38.62857142857143,fear
2025-02-05,1738800000000,39.68571428571429,fear
2025-02-06,1738886400000,38.371428571428574,fear
2025-02-09,1739145600000,44.714285714285715,fear
2025-02-10,1739232000000,45.4,neutral
2025-02-11,1739318400000,41.371428571428574,fear
2025-02-12,1739404800000,46.60000000000001,neutral
2025-02-13,1739491200000,43.68571428571429,fear
2025-02-17,1739836800000,46.800000000000004,neutral
2025-02-18,1739923200000,47.628571428571426,neutral
2025-02-19,1740009600000,44.228571428571435,fear
2025-02-20,1740096000000,36.971428571428575,fear
2025-02-23,1740355200000,29.542857142857144,fear
2025-02-24,1740441600000,24.199999999999996,extreme fear
